Tweet,Cleaned_Tweet
"['burn', 'bulusmami', 'lazimdiii']",burn bulusmami lazimdiii
"['vodka', 'kodak', 'adam', 'tribe', 'solar', 'yemen', 'eeri']",vodka kodak adam tribe solar yemen eeri
['bed'],bed
"['felt', 'first', 'flash', 'violenc', 'fool', 'bump', 'piti', 'fool']",felt first flash violenc fool bump piti fool
"['ladi', 'drink', 'get', 'free', 'till', '10', '30']",ladi drink get free till 10 30
"['melanynijholtxo', 'ahhahahahah', 'dm']",melanynijholtxo ahhahahahah dm
['fuck'],fuck
"['watch', 'miranda', 'back', 'merchant', 'u', 'r', 'hilari']",watch miranda back merchant u r hilari
"['stizzsti', 'fino']",stizzsti fino
"['shop', 'kohl', 'help', 't', 'co', 'i8zkqht9']",shop kohl help t co i8zkqht9
"['mizzen', 'cell', 'es', 'tu', 'segundo', 'hombr']",mizzen cell es tu segundo hombr
"['emilyroxxxx', 'melanienasson', 'hahahahahah', 'away']",emilyroxxxx melanienasson hahahahahah away
"['beginkith', 'oak', 'semang', 'na', 'blajaq']",beginkith oak semang na blajaq
"['quiet', 'sugar', 'tenni']",quiet sugar tenni
"['mess', '_']",mess _
"['come', 'piranha', 'net', 'help', 't', 'co', '8bj6zawx']",come piranha net help t co 8bj6zawx
"['dennycrow', 'twitter', 'friend', 'cant', 'stick']",dennycrow twitter friend cant stick
"['juanchrystma', 'champ', 'e', 'puma', 'seem', 'e', 'van']",juanchrystma champ e puma seem e van
"['tire', 'gang', 'dayu_renita', 'tamancrizz', 'mika_mahayekti', 'help', 't', 'co', 'xemaxjuz']",tire gang dayu_renita tamancrizz mika_mahayekti help t co xemaxjuz
"['fall', 'apart', 'break', 'heart', 'bare', 'breath']",fall apart break heart bare breath
"['cp_udashit', 'oh', 'god', 'go', 'way', 'back', 'lovethi', 'rahrahrah']",cp_udashit oh god go way back lovethi rahrahrah
"['way', 'treat', 'way', 'accept', 'love', 'much', 'care', 'make', 'perfect']",way treat way accept love much care make perfect
"['wan', 'na', 'get', 'pull', 'sled', 'four', 'wheeler', 'godship']",wan na get pull sled four wheeler godship
"['oh', 'fake', 'door', 'slam', 'nois', 'ugh', 'cab']",oh fake door slam nois ugh cab
"['taybaybay_19', 'cool', 'wan', 'na', 'see', 'u', 'get']",taybaybay_19 cool wan na see u get
"['del_webb13', 'hah', 'never', 'get', 'tell', 'post', 'like', 'guard', 'yamaha']",del_webb13 hah never get tell post like guard yamaha
"['comer', 'plea', 'method', 'mead', '8']",comer plea method mead 8
"['opucar91', 'tim_allen111', 'tennesse', 'bear', 'mountain', 'lion', 'round', 'part']",opucar91 tim_allen111 tennesse bear mountain lion round part
"['ca', 'right', 'without', 'wrong', 'first']",ca right without wrong first
"['tweet', '4484', 'dedic', 'zayraizquierdo_']",tweet 4484 dedic zayraizquierdo_
"['flacciddaddi', 'goodluck', 'young', 'occup']",flacciddaddi goodluck young occup
"['kiapegg', 'ah', 'okay', 'old', 'ate', '13']",kiapegg ah okay old ate 13
"['erikitalaran', 'supermery1969', 'pagemasteragain', 'sococampo', 'jajajaja', 'bolitaaaaaa', 'sigil']",erikitalaran supermery1969 pagemasteragain sococampo jajajaja bolitaaaaaa sigil
"['vampir', 'bandung', 'sing', 'ajar', 'si', 'cant', 'revavirginari', 'hay', 'mommi', 'rind', 'de', 'keep', 'dong', 'dong', 'da_sickgirl', 'seek']",vampir bandung sing ajar si cant revavirginari hay mommi rind de keep dong dong da_sickgirl seek
"['paty_vangogh', 'rangoon', 'regul', 'el', 'major', 'xdddddddddd']",paty_vangogh rangoon regul el major xdddddddddd
